hobbies
racquetball
radio-controlled car racing
radio-controlled model playing
roller derby
rugby league football
sculling or rowing
shooting sport
skateboarding
skiing
sled dog racing
softball
speed skating
squash
surfing
swimming
table tennis
tennis
tennis polo
tether car
tour skating
tourism
trapshooting
triathlon
ultimate frisbee
volleyball
water polo
audiophile
fishkeeping
learning
meditation
microscopy
reading
research
shortwave listening
aircraft spotting
amateur astronomy
benchmarking
birdwatching
bus spotting
geocaching
gongoozling
herping
hiking/backpacking
meteorology
photography
satellite watching
trainspotting
whale watching
